Geographic Area Name,Estimate!!Total!!Households,Estimate!!Households receiving food stamps/SNAP!!Households,Estimate!!Households not receiving food stamps/SNAP!!Households
"Kootenai County, Idaho",67771,3257,64514
"Twin Falls County, Idaho",34311,4147,30164
"Champaign County, Illinois",84248,7702,76546
"Cook County, Illinois",2072143,330733,1741410
"DeKalb County, Illinois",38916,5489,33427
"DuPage County, Illinois",350639,26118,324521
"Kane County, Illinois",183427,20729,162698
"Kankakee County, Illinois",41020,6141,34879
"Kendall County, Illinois",44208,5699,38509
"Lake County, Illinois",254744,24270,230474
"LaSalle County, Illinois",44972,6708,38264
"McHenry County, Illinois",116768,6880,109888
"McLean County, Illinois",69263,6703,62560
"Macon County, Illinois",43914,8951,34963
"Madison County, Illinois",109818,15127,94691
"Peoria County, Illinois",79307,16015,63292
"Rock Island County, Illinois",60187,11422,48765
"St. Clair County, Illinois",98926,16950,81976
"Sangamon County, Illinois",84414,13824,70590
"Tazewell County, Illinois",55208,5877,49331
"Vermilion County, Illinois",29007,5419,23588
"Will County, Illinois",242530,23817,218713
"Williamson County, Illinois",27361,5012,22349
"Winnebago County, Illinois",115282,23966,91316
"Allen County, Indiana",154866,14749,140117
"Bartholomew County, Indiana",32518,2470,30048
"Boone County, Indiana",28048,1001,27047
"Clark County, Indiana",50153,5366,44787
"Delaware County, Indiana",45977,6294,39683
"Elkhart County, Indiana",69015,4718,64297
"Floyd County, Indiana",30846,2343,28503
"Grant County, Indiana",26342,4202,22140
"Hamilton County, Indiana",132255,2625,129630
"Hancock County, Indiana",32661,1113,31548
"Hendricks County, Indiana",65751,2380,63371
"Howard County, Indiana",36530,5027,31503
"Johnson County, Indiana",62116,3323,58793
"Kosciusko County, Indiana",31523,2356,29167
"Lake County, Indiana",192256,27603,164653
"LaPorte County, Indiana",43445,3742,39703
"Madison County, Indiana",53910,7254,46656
"Marion County, Indiana",394717,50923,343794
"Monroe County, Indiana",56714,3121,53593
"Morgan County, Indiana",26821,3119,23702
"Porter County, Indiana",68266,3304,64962
"St. Joseph County, Indiana",107076,10181,96895
"Tippecanoe County, Indiana",73525,4973,68552
"Vanderburgh County, Indiana",79215,9702,69513
"Vigo County, Indiana",42140,6901,35239
"Wayne County, Indiana",26452,3757,22695
"Black Hawk County, Iowa",53951,5727,48224
"Dallas County, Iowa",41681,3611,38070
"Dubuque County, Iowa",40482,2179,38303
"Johnson County, Iowa",61301,3544,57757
"Linn County, Iowa",94884,9266,85618
"Polk County, Iowa",203390,20252,183138
"Pottawattamie County, Iowa",37930,4056,33874
"Scott County, Iowa",72128,10536,61592
"Story County, Iowa",38868,2115,36753
"Woodbury County, Iowa",41327,5249,36078
"Butler County, Kansas",24545,1302,23243
"Douglas County, Kansas",49759,3822,45937
"Johnson County, Kansas",245646,4922,240724
"Leavenworth County, Kansas",29963,1528,28435
"Riley County, Kansas",27866,1148,26718
"Sedgwick County, Kansas",203656,21682,181974
"Shawnee County, Kansas",74908,6075,68833
"Wyandotte County, Kansas",62538,9574,52964
"Boone County, Kentucky",50728,3193,47535
"Bullitt County, Kentucky",30979,3279,27700
"Campbell County, Kentucky",39048,2182,36866
"Christian County, Kentucky",25317,3164,22153
"Daviess County, Kentucky",41246,4690,36556
"Fayette County, Kentucky",139303,12277,127026
"Hardin County, Kentucky",42714,5666,37048
"Jefferson County, Kentucky",331104,38128,292976
"Kenton County, Kentucky",68073,4745,63328
"McCracken County, Kentucky",25531,2854,22677
"Madison County, Kentucky",36052,5602,30450
"Oldham County, Kentucky",22895,431,22464
"Pulaski County, Kentucky",25509,4189,21320
"Warren County, Kentucky",53093,7403,45690
"Ascension Parish, Louisiana",48129,7493,40636
"Bossier Parish, Louisiana",49418,5638,43780
"Caddo Parish, Louisiana",96369,21895,74474
"Calcasieu Parish, Louisiana",71511,16667,54844
"East Baton Rouge Parish, Louisiana",175731,35875,139856
"Iberia Parish, Louisiana",25440,6012,19428
"Jefferson Parish, Louisiana",179775,26238,153537
"Lafayette Parish, Louisiana",97877,12650,85227
"Lafourche Parish, Louisiana",38111,7114,30997
"Livingston Parish, Louisiana",51960,8280,43680
"Orleans Parish, Louisiana",158827,33973,124854
"Ouachita Parish, Louisiana",61594,12258,49336
"Rapides Parish, Louisiana",48405,10527,37878
"St. Landry Parish, Louisiana",32213,9097,23116
"St. Tammany Parish, Louisiana",103543,8760,94783
"Tangipahoa Parish, Louisiana",49915,11207,38708
"Terrebonne Parish, Louisiana",43996,7358,36638
"Androscoggin County, Maine",46323,6275,40048
"Aroostook County, Maine",30220,6233,23987
"Cumberland County, Maine",129977,8654,121323
"Kennebec County, Maine",53803,7012,46791
"Penobscot County, Maine",65441,8769,56672
"York County, Maine",90907,7358,83549
"Allegany County, Maryland",28535,6048,22487
"Anne Arundel County, Maryland",225064,17593,207471
"Baltimore County, Maryland",332529,45336,287193
"Calvert County, Maryland",33994,2211,31783
"Carroll County, Maryland",64161,3541,60620
"Cecil County, Maryland",41000,5263,35737
"Charles County, Maryland",59481,6007,53474
"Frederick County, Maryland",103685,6505,97180
"Harford County, Maryland",101196,9143,92053
"Howard County, Maryland",120546,7033,113513
"Montgomery County, Maryland",388396,31667,356729
"Prince George's County, Maryland",346127,49401,296726
"St. Mary's County, Maryland",42078,4101,37977
"Washington County, Maryland",60215,11532,48683
"Wicomico County, Maryland",40577,7952,32625
"Baltimore city, Maryland",254370,67895,186475
"Barnstable County, Massachusetts",104733,8894,95839
"Berkshire County, Massachusetts",57765,9681,48084
"Bristol County, Massachusetts",233531,44571,188960
"Essex County, Massachusetts",309972,57437,252535
"Franklin County, Massachusetts",30374,5102,25272
"Hampden County, Massachusetts",184544,45009,139535
"Hampshire County, Massachusetts",60870,5350,55520
"Middlesex County, Massachusetts",632831,61454,571377
"Norfolk County, Massachusetts",280067,23716,256351
"Plymouth County, Massachusetts",202084,24448,177636
"Suffolk County, Massachusetts",315257,64668,250589
"Worcester County, Massachusetts",333435,51344,282091
"Allegan County, Michigan",44479,3542,40937
"Bay County, Michigan",45487,5203,40284
"Berrien County, Michigan",65764,8681,57083
"Calhoun County, Michigan",53482,6226,47256
"Clinton County, Michigan",30952,2216,28736
"Eaton County, Michigan",45137,4270,40867
"Genesee County, Michigan",167895,29098,138797
"Grand Traverse County, Michigan",40083,3035,37048
"Ingham County, Michigan",115752,15837,99915
"Ionia County, Michigan",23531,3167,20364
"Jackson County, Michigan",61937,8968,52969
"Kalamazoo County, Michigan",105642,11338,94304
"Kent County, Michigan",253092,26195,226897
"Lapeer County, Michigan",34447,3305,31142
"Lenawee County, Michigan",38963,5475,33488
"Livingston County, Michigan",75370,3550,71820
"Macomb County, Michigan",358011,46253,311758
"Marquette County, Michigan",27290,2133,25157
"Midland County, Michigan",35453,3765,31688
"Monroe County, Michigan",61574,6026,55548
"Montcalm County, Michigan",23745,2888,20857
"Muskegon County, Michigan",67707,11620,56087
"Oakland County, Michigan",530383,44860,485523
"Ottawa County, Michigan",110045,6627,103418
"Saginaw County, Michigan",80146,15707,64439
"St. Clair County, Michigan",66324,9229,57095
"Shiawassee County, Michigan",28226,3929,24297
"Van Buren County, Michigan",28457,3859,24598
"Washtenaw County, Michigan",149133,11890,137243
"Wayne County, Michigan",695038,158104,536934
"Anoka County, Minnesota",135265,10398,124867
"Blue Earth County, Minnesota",27604,1544,26060
"Carver County, Minnesota",40141,1952,38189
"Clay County, Minnesota",26236,2065,24171
"Crow Wing County, Minnesota",27753,1866,25887
"Dakota County, Minnesota",170696,8433,162263
"Hennepin County, Minnesota",532149,45728,486421
"Olmsted County, Minnesota",65122,4567,60555
